time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-01 00:00:00+00:00,882,62,406,195
2026-09-02 00:00:00+00:00,120,71,500,199
2026-09-03 00:00:00+00:00,196,74,461,188
2026-09-04 00:00:00+00:00,224,73,509,187
2026-09-05 00:00:00+00:00,167,79,440,163
2026-09-06 00:00:00+00:00,111,76,415,176
2026-09-07 00:00:00+00:00,1350,93,605,208
2026-09-08 00:00:00+00:00,145,84,614,222
2026-09-09 00:00:00+00:00,2496,72,581,244
2026-09-10 00:00:00+00:00,135,75,505,181
2026-09-11 00:00:00+00:00,972,64,522,213
2026-09-12 00:00:00+00:00,368,60,408,191
2026-09-13 00:00:00+00:00,1756,75,439,189
2026-09-14 00:00:00+00:00,184,95,497,219
